#format: pos_number;latitude;longitude
45
44.442697,11.558433
44.444134,11.560446
44.445715,11.562661
44.447404,11.565027
44.448967,11.567216
44.450584,11.569481
44.452075,11.57157
44.453575,11.573672
44.455093,11.575799
44.456746,11.578115
44.458237,11.580204
44.4598,11.582394
44.461327,11.584534
44.462791,11.586586
44.464273,11.588663
44.465827,11.590841
44.467399,11.593044
44.468836,11.595058
44.470345,11.597173
44.471791,11.5992
44.473264,11.601265
44.474809,11.60343
44.476408,11.605671
44.477899,11.607761
44.479354,11.609801
44.481052,11.612181
44.482732,11.614535
44.484403,11.616877
44.485984,11.619093
